Episode,Total Reward,Epsilon,Time (s)
621,-6.5,0.01,219.9
622,-6.9,0.01,220.2
623,-8.1,0.01,220.4
624,-8.0,0.01,220.6
625,-9.0,0.01,220.7
626,-7.4,0.01,221.0
627,-8.5,0.01,221.1
628,-8.8,0.01,221.3
629,-9.1,0.01,221.4
630,-6.4,0.01,221.7
631,-8.5,0.01,221.9
632,-8.2,0.01,222.1
633,-6.4,0.01,222.4
634,-9.1,0.01,222.5
635,-9.1,0.01,222.7
636,-4.0,0.01,223.3
637,-7.1,0.01,223.6
638,-8.7,0.01,223.7
639,-6.9,0.01,224.0
640,6.3,0.01,224.7
641,-7.2,0.01,224.9
642,-6.8,0.01,225.3
643,-8.4,0.01,225.4
644,-6.3,0.01,225.8
645,-9.1,0.01,225.9
646,-8.9,0.01,226.0
647,-8.2,0.01,226.2
648,-8.4,0.01,226.4
649,-7.9,0.01,226.6
650,-2.5,0.01,227.3
651,2.6,0.01,227.6
652,-8.8,0.01,227.7
653,-8.6,0.01,227.9
654,-7.5,0.01,228.2
655,1.9,0.01,228.4
656,-7.8,0.01,228.6
657,-9.0,0.01,228.7
658,-7.4,0.01,229.0
659,0.3,0.01,230.0
660,-8.1,0.01,230.2
661,-8.0,0.01,230.4
662,-9.1,0.01,230.5
663,-7.8,0.01,230.8
664,-9.0,0.01,230.9
665,-3.6,0.01,231.5
666,-7.2,0.01,231.8
667,-6.0,0.01,232.2
668,-7.3,0.01,232.5
669,2.9,0.01,233.8
670,-8.3,0.01,234.0
671,-8.6,0.01,234.1
672,-5.9,0.01,234.5
673,-9.0,0.01,234.6
674,-6.9,0.01,235.0
675,-8.6,0.01,235.1
676,-8.1,0.01,235.3
677,-8.6,0.01,235.5
678,1.5,0.01,235.6
679,-8.0,0.01,235.8
680,-8.9,0.01,236.0
681,-6.2,0.01,236.4
682,-8.9,0.01,236.5
683,-8.8,0.01,236.6
684,-7.9,0.01,236.8
685,-8.4,0.01,237.0
686,-4.8,0.01,237.5
687,6.2,0.01,238.2
688,-4.4,0.01,238.7
689,-8.9,0.01,238.9
690,-6.9,0.01,239.2
691,6.3,0.01,239.8
692,-7.6,0.01,240.1
693,2.7,0.01,240.4
694,-9.0,0.01,240.5
695,-7.6,0.01,240.7
696,-8.8,0.01,240.9
697,-9.0,0.01,241.0
698,-6.5,0.01,241.3
699,-9.1,0.01,241.4
700,-9.0,0.01,241.5
701,-7.3,0.01,241.8
702,-9.0,0.01,241.9
703,-5.1,0.01,242.4
704,-0.0,0.01,243.4
705,-7.7,0.01,243.7
706,-8.8,0.01,243.8
707,-8.1,0.01,244.1
708,-5.9,0.01,244.5
709,-8.9,0.01,244.7
710,-5.5,0.01,245.3
711,0.5,0.01,246.5
712,3.4,0.01,247.0
713,-5.9,0.01,247.4
714,-9.1,0.01,247.6
715,-8.2,0.01,247.8
716,-6.7,0.01,248.1
717,-7.9,0.01,248.4
718,-8.8,0.01,248.5
719,5.1,0.01,249.1
720,-8.3,0.01,249.3
721,-9.0,0.01,249.4
722,-8.4,0.01,249.6
723,-9.0,0.01,249.7
724,-8.9,0.01,249.8
725,-5.6,0.01,250.3
726,-9.0,0.01,250.4
727,-8.5,0.01,250.6
728,-8.3,0.01,250.7
729,-6.7,0.01,251.1
730,-7.0,0.01,251.4
731,-8.3,0.01,251.6
732,-7.0,0.01,251.9
